Operon_no.	left_cordinate	right_cordinate	strand
1274	2365451	2366239	+
1275	2366252	2367700	-
1276	2367923	2375982	-
1277	2376055	2376489	+
1278	2376611	2376871	+
1279	2376868	2377827	-
1279.1	2377969	2379636	-
1281	2379875	2382190	+
1282	2382349	2383116	+
1283	2383122	2383457	-
1284	2383642	2385906	+
1285	2385974	2388190	+
1286	2388328	2388534	+
1287	2388542	2390951	-
1288	2391126	2391560	-
1289	2391809	2393164	+
1290	2393276	2394553	-
1291	2394598	2395106	-
1292	2395180	2396016	-
1293	2396214	2397071	+
1294	2397073	2397635	-
1295	2397843	2402321	-
1296	2402492	2404267	+
1297	2404518	2405678	-
1298	2405880	2407175	-
1299	2407281	2408983	-
1300	2409069	2409380	-
1301	2409393	2410720	+
1302	2410926	2411330	-
1303	2411414	2413423	-
1304	2413447	2417846	+
1305	2418025	2418600	-
1306	2418653	2419132	+
1307	2419189	2420253	+
1308	2420364	2420987	+
1309	2420938	2421585	-
1310	2421986	2422978	+
1311	2423096	2423605	-
1312	2423833	2425212	-
1314	2425338	2426605	-
1316	2426768	2429018	+
1317	2429076	2430867	+
1318	2430959	2432740	+
1319	2432848	2433369	+
1320	2433397	2433960	-
1321	2434123	2435298	-
1322	2435476	2435586	-
1323	2435754	2437219	+
1324	2437366	2439589	-
1325	2439791	2441148	-
1326	2441149	2444141	+
1327	2444280	2445762	-
1328	2445821	2448739	+
1329	2448736	2449281	-
1330	2449310	2453350	+
1331	2453477	2454331	-
1332	2454519	2454911	+
1333	2455008	2456885	+
1334	2457494	2458384	-
1335	2458478	2459416	-
1337	2459534	2461581	-
1338	2461698	2462216	-
1339	2462335	2463360	-
1340	2463535	2465164	+
1342	2465823	2466731	-
1343	2466949	2469219	-
1344	2469374	2470195	-
1345	2470434	2471020	+
1346	2471231	2472748	+
1346.1	2472776	2473827	+
1347	2473963	2474481	+
1348	2474478	2475422	-
1349	2475540	2476834	+
1350	2476809	2478101	-
1351	2478190	2480647	-
1352	2480879	2481337	+
1353	2481416	2482681	-
1354	2482784	2484043	-
1355	2484136	2484849	-
1356	2485010	2486178	+
1357	2486278	2487774	+
1358	2487854	2488291	+
1359	2488425	2489764	+
1360	2489936	2493258	-
1361	2493653	2494216	+
1362	2494298	2495023	+
1363	2495393	2496361	-
1365	2496500	2501627	-
1366	2501722	2502216	-
1367	2502410	2502739	+
1368	2502736	2505081	-
1369	2505205	2509065	-
1370	2509312	2510400	+
1372	2510397	2513830	-
1373	2514140	2516905	+
1374	2517092	2518606	+
1375	2518633	2520256	-
1376	2520245	2520523	+
1377	2520520	2521242	-
1378	2521693	2522439	+
1379	2522509	2523348	-
1380	2523526	2525074	+
1381	2525071	2527813	-
1382	2528009	2529388	-
1383	2529502	2534233	-
1384	2534303	2535016	+
1385	2535329	2537350	+
1387	2537390	2538052	-
1388	2538160	2538489	-
1389	2538661	2539389	-
1390	2539482	2540201	+
1391	2540198	2541193	-
1392	2541255	2543344	-
1393	2543511	2544563	+
1394	2544607	2546151	-
1395	2546366	2549899	+
1396	2549896	2550660	-
1397	2550731	2551864	-
1398	2552018	2553811	+
1399	2553957	2555147	+
1400	2555134	2556000	-
1401	2556193	2556976	+
1402	2557000	2559208	-
1403	2559422	2559829	+
1404	2560136	2560414	+
1405	2560536	2563204	+
1406	2563550	2565640	-
1407	2566554	2567818	-
1408	2567906	2568505	+
1410	2568833	2570892	-
1411	2570989	2575064	-
1416	2575252	2578719	-
1417	2578809	2579783	+
1418	2579905	2582247	-
1419	2582586	2582744	+
1420	2582757	2584259	-
1421	2584421	2585281	-
1422	2585347	2586378	-
1423	2586432	2587169	+
1424	2587166	2589782	-
1425	2589931	2590584	+
1426	2590749	2591835	+
1427	2591906	2592478	+
1428	2592489	2597264	-
1429	2597600	2598337	-
1430	2598431	2599438	-
1431	2599611	2603211	+
1433	2603208	2604170	-
1434	2604354	2604671	+
1435	2605030	2607314	-
1436	2611664	2611921	-
1436.1	2608583	2611620	-
1437	2611950	2612546	+
1438	2612678	2613682	-
1439	2613137	2619331	+
1440	2620049	2620783	-
1440.1	2619485	2619961	-
1441	2620910	2622933	+
1442	2622982	2629109	-
1443	2629234	2634048	-
1444	2634163	2635053	-
1445	2635157	2643950	+
1446	2644382	2647773	-
1447	2648023	2655713	+
1448	2656074	2656214	-
1449	2656649	2661303	+
1450	2661300	2664847	-
1451	2664933	2665673	+
1452	2665716	2665994	-
1453	2666167	2666892	-
1454	2667090	2667611	+
1455	2667679	2670937	-
1456	2671117	2672145	+
1457	2672380	2672874	+
1458	2673609	2676541	+
1458.1	2676573	2678323	+
1459	2678387	2679592	+
1460	2679589	2680680	-
1461	2680697	2680966	+
1462	2680864	2681133	-
1463	2681312	2684011	+
1464	2684623	2686905	+
1465	2687023	2688045	-
1466	2688132	2689277	+
1467	2689408	2690706	-
1468	2690943	2692151	+
1469	2692233	2692400	+
1470	2692471	2696318	-
1471	2696440	2702130	+
1472	2702239	2702601	+
1473	2702662	2703096	-
1474	2703150	2703731	+
1475	2703852	2706239	+
1476	2706236	2706730	-
1477	2706854	2710515	-
1478	2710778	2713130	-
1480	2713272	2716501	+
1481	2716669	2719197	+
1482	2719265	2720245	+
1483	2720568	2721197	-
1484	2721305	2722639	+
1485	2722855	2724348	+
1486	2724537	2727155	+
1487	2727217	2727531	-
1488	2727918	2728966	+
1489	2729198	2729842	-
1490	2729929	2731393	+
1491	2731704	2732322	+
1492	2732389	2733051	+
1494	2734094	2736313	+
1495	2736340	2739206	-
1496	2739366	2741333	+
1497	2741733	2742110	-
1498	2742178	2743458	-
1499	2743723	2744340	-
1500	2744512	2744892	-
1501	2744972	2747541	-
1502	2747660	2748538	+
1505	2748535	2753765	-
1506	2753922	2755183	+
1507	2755289	2757226	+
1509	2757266	2758156	-
1510	2758473	2761115	-
1511	2761302	2762686	-
1512	2762802	2766480	-
1513	2766600	2767070	-
1514	2767206	2768111	+
1515	2768190	2768480	+
1516	2768606	2769535	+
1517	2769600	2771456	-
1518	2773477	2776684	-
1518.1	2771579	2773205	-
1519	2776907	2778310	-
1520	2778529	2781007	-
1521	2781006	2781527	+
1522	2781597	2781770	-
1523	2782120	2782746	+
1524	2782798	2785158	-
1525	2785244	2787501	-
1526	2787593	2787991	+
1527	2788093	2789109	+
1528	2789113	2799961	-
1529	2800802	2801722	-
1530	2802232	2803152	+
1531	2803178	2805407	-
1532	2805606	2807102	+
1533	2807177	2808076	+
1534	2808208	2808585	+
1535	2808776	2809300	-
1538	2809368	2811589	-
1539	2811763	2812790	+
1540	2812862	2815669	+
1541	2815723	2817884	-
1542	2818096	2818530	-
1543	2818761	2820662	+
1547	2824657	2825121	-
1547.1	2820665	2824536	-
1548	2825362	2828268	+
1549	2828468	2829240	+
1551	2829259	2830155	-
1552	2830324	2830938	+
1553	2830944	2832590	-
1554	2832742	2833680	-
1555	2833779	2835203	+
1556	2835214	2837312	-
1557	2837433	2838880	+
1558	2839054	2841652	+
1559	2841783	2842697	+
1560	2842846	2845246	+
1561	2845243	2845935	-
1562	2846063	2848015	-
1563	2848273	2849238	-
1564	2849457	2852460	+
1565	2852575	2859109	-
1566	2859445	2861721	+
1567	2861842	2862051	-
1570	2868545	2868976	+
1571	2869616	2870272	-
1571.1	2869112	2869543	-
1572	2870419	2873037	+
1573	2873155	2874981	+
1574	2875196	2877277	+
1574.1	2877370	2884663	+
1575	2884725	2885654	-
1576	2885831	2886376	+
1577	2886373	2888995	-
1578	2889287	2889817	-
1579	2889997	2890931	+
1580	2891107	2891412	+
1581	2891507	2894161	+
1582	2894158	2895169	-
1584	2895430	2897845	-
1585	2897850	2898464	+
1586	2898473	2898928	-
1587	2898997	2899818	+
1588	2899970	2901381	-
1589	2901593	2902285	+
1591	2902466	2906294	-
1592	2906466	2907182	-
1593	2907542	2908183	-
1594	2908259	2909275	+
1595	2909315	2910127	-
1596	2910262	2910510	+
1597	2910514	2912677	-
1598	2912771	2914843	-
1599	2915012	2917471	-
1600	2917965	2919263	-
1601	2919418	2920069	+
1602	2920073	2920831	-
1603	2920986	2922152	+
1604	2922305	2923135	+
1604.1	2923196	2923918	+
1606	2924124	2924789	+
1607	2924942	2926183	+
1608	2926215	2931532	-
1609	2931550	2933504	+
1609.1	2933639	2934097	+
1611	2934282	2934473	-
1612	2934572	2936026	-
1613	2936207	2936341	-
1614	2936392	2938135	+
1615	2938555	2939946	+
1616	2939969	2940670	-
1617	2940765	2945245	+
1618	2945506	2945736	-
1619	2945814	2946023	-
1620	2946155	2947768	+
1621	2947891	2950977	+
1622	2951028	2953514	+
1623	2953501	2955908	-
1624	2955973	2956338	-
1625	2956406	2957080	-
1626	2957416	2957895	+
1627	2958323	2959330	-
1628	2959375	2959686	+
1630	2960344	2969657	+
1631	2969819	2971514	+
1633	2971567	2973908	-
1634	2973979	2974182	-
1635	2974861	2974974	+
1636	2975200	2975355	-
1637	2975365	2977254	+
1639	2977478	2979816	-
1640	2979912	2980037	-
1641	2980222	2980978	+
1641.1	2981109	2982131	+
1642	2982256	2984598	+
1644	2984967	2985137	+
1645	2985216	2985773	+
1646	2985866	2987134	+
1647	2987156	2991021	-
1648	2991299	2994175	-
1649	2994294	2995181	+
1650	2995269	2995508	+
1651	2995539	2998187	-
1652	2998544	3000222	-
1653	3000402	3004585	-
1654	3004685	3005377	+
1655	3005378	3006748	-
1656	3006909	3009450	-
1657	3009579	3011953	-
1658	3012116	3013060	-
1660	3013149	3016860	-
1661	3016985	3018863	-
1662	3019011	3019475	+
1665	3019649	3020612	-
1666	3020768	3021876	-
1667	3022019	3023239	-
1668	3023436	3023798	+
1669	3025889	3026329	+
1670	3023772	3025917	-
1671	3026557	3026715	-
1672	3026790	3026885	-
1673	3027016	3028719	-
1674	3028870	3030456	+
1675	3030666	3032707	-
1676	3032855	3033622	-
1677	3033732	3034986	+
1678	3035216	3036025	+
1679	3036185	3037249	+
1680	3037453	3037959	-
1682	3038068	3039954	+
1683	3040024	3040320	+
1684	3040378	3043390	-
1685	3043535	3046756	-
1686	3047214	3049843	+
1687	3050012	3053049	+
1689	3053174	3056206	-
1690	3056617	3058752	-
1691	3058970	3061057	+
1692	3061150	3061527	+
1693	3061621	3062715	+
1694	3063971	3064684	-
1695	3064800	3066293	+
1696	3066392	3069331	-
1698	3069925	3071213	+
1699	3071642	3082311	+
1700	3082319	3082462	-
1701	3082765	3085839	-
1702	3086211	3086489	-
1703	3086931	3088097	+
1704	3088377	3088547	+
1705	3088696	3090680	+
1706	3090917	3091482	-
1707	3091612	3091857	-
1709	3092264	3093979	+
1710	3094127	3094828	+
1711	3094958	3097171	-
1712	3097275	3097937	+
1713	3098040	3099274	+
1714	3099431	3101388	+
1715	3101543	3102016	+
1716	3102130	3103299	+
1718	3103950	3104690	+
1719	3104687	3106648	-
1720	3106845	3108909	+
1721	3109246	3111856	+
1722	3111902	3113203	+
1723	3113547	3114398	+
1724	3114400	3116042	-
1725	3116116	3116976	+
1726	3117044	3117358	+
1727	3117581	3118651	-
1728	3118775	3119252	+
1729	3119317	3119790	-
1730	3119851	3120858	+
1731	3120990	3122720	-
1732	3122780	3125179	+
1732.1	3126055	3127023	+
1732.5	3125238	3125986	-
1733	3127025	3128053	-
1734	3128129	3128749	-
1735	3128811	3131328	+
1736	3131479	3131838	-
1737	3132063	3132632	+
1738	3132879	3134357	+
1739	3134421	3136372	-
1740	3136476	3136934	+
1741	3137112	3140485	+
1742	3140496	3142415	-
1743	3142543	3142782	+
1744	3142849	3143337	+
1745	3143413	3143955	+
1747	3144126	3144898	+
1748	3144917	3146679	-
1749	3146857	3150156	-
1750	3150659	3151312	+
1751	3151281	3152816	-
1754	3153497	3155121	-
1755	3155223	3155507	-
1756	3155705	3156322	-
1757	3156484	3159513	+
1758	3159681	3163908	+
1759	3164069	3164485	-
1760	3164576	3165085	-
1761	3165259	3167547	+
1762	3167565	3170209	-
1763	3171579	3174431	-
1764	3174508	3175635	+
1765	3175645	3180197	-
1767	3180278	3182982	+
1768	3183110	3184695	-
1769	3184758	3185538	+
1770	3185752	3187988	-
1771	3188072	3188896	+
1772	3188908	3189102	-
1773	3189178	3197646	-
1774	3198523	3198702	-
1774.1	3197836	3198348	-
1775	3199019	3199450	+
1776	3199543	3200642	+
1777	3200639	3204485	-
1778	3204621	3205394	-
1779	3205573	3205971	-
1780	3206175	3207347	-
1781	3207465	3208235	+
1782	3209150	3210088	+
1783	3208375	3209055	-
1784	3210250	3210639	-
1786	3210738	3212571	-
1787	3212737	3213830	+
1789	3213796	3214908	-
1790	3215326	3216766	-
1791	3216939	3217313	+
1792	3217329	3219419	-
1793	3219562	3219960	-
1794	3220072	3221288	+
1795	3221505	3222779	+
1796	3222860	3223564	+
1797	3223642	3225436	+
1798	3225530	3228258	+
1799	3228294	3228828	-
1800	3228846	3229471	-
1801	3229845	3230597	-
1802	3231328	3233052	-
1803	3233155	3234393	-
1804	3234537	3235514	-
1805	3235578	3236024	-
1806	3236355	3238782	+
1808	3238826	3240220	-
1809	3240500	3240700	+
1810	3240801	3242662	+
1811	3242864	3245026	-
1812	3245189	3247684	-
1813	3248201	3249202	-
1814	3249391	3250341	+
1815	3250343	3251355	-
1816	3251453	3253851	-
1817	3253928	3255652	+
1818	3255828	3256478	-
1820	3256535	3257450	+
1821	3257575	3260856	-
1823	3261360	3261728	-
1824	3261956	3263242	-
1825	3263780	3264499	-
1826	3264578	3265797	+
1827	3265911	3266830	+
1828	3267043	3267282	-
1828.1	3267484	3267882	-
1830	3268075	3268551	+
1831	3268559	3269770	-
1832	3269898	3272395	+
1833	3272461	3274521	+
1834	3274732	3276030	+
1835	3276178	3277110	-
1836	3277316	3278692	-
1837	3278952	3279647	-
1838	3280062	3281524	-
1839	3281744	3285626	+
1841	3286001	3288217	+
1842	3288469	3290322	-
1843	3290421	3291877	+
1844	3292250	3294208	-
1845	3294602	3296371	-
1846	3296493	3298424	-
1847	3298839	3300800	+
1848	3300889	3301518	+
1849	3301621	3303414	+
1850	3303709	3306129	+
1851	3306126	3306284	-
1852	3306299	3308212	+
1853	3308514	3311148	+
1854	3311298	3313334	+
1856	3313511	3315978	+
1857	3316096	3316611	-
1858	3316700	3317755	+
1859	3317963	3320395	-
1860	3320693	3323464	+
1861	3323565	3324974	-
1862	3325047	3325751	+
1863	3325776	3326630	-
1864	3326871	3327722	-
1865	3327940	3328524	+
1866	3328757	3332722	-
1867	3332903	3334809	+
1868	3334806	3338066	-
1870	3338152	3339429	+
1871	3339416	3340147	-
1872	3340424	3341698	+
1873	3344054	3345748	-
1873.1	3341862	3343900	-
1874	3345853	3346479	+
1875	3346487	3347602	-
1876	3347646	3348599	+
1877	3348814	3351413	+
1878	3351427	3353673	-
1879	3353828	3355417	-
1880	3355502	3356499	+
1881	3356661	3356855	-
1882	3356950	3357684	+
1883	3357782	3358591	-
1884	3358667	3359806	-
1885	3359910	3361634	-
1886	3361732	3363018	-
1887	3363139	3363765	-
1888	3363862	3364839	+
1888.1	3364972	3366180	+
1889	3366406	3368058	+
1890	3368261	3369649	+
1891	3369752	3370579	+
1892	3370723	3372908	-
1893	3373019	3373972	+
1894	3374076	3375323	-
1895	3375439	3375747	+
1896	3375756	3376166	-
1897	3376165	3377580	+
1898	3377577	3377777	-
1899	3377955	3378587	-
1900	3378665	3385912	+
1901	3386049	3386657	+
1902	3386717	3386956	-
1903	3387075	3392125	-
1905	3392256	3397646	-
1905.5	3397198	3397640	+
1906	3397643	3407138	-
1907	3407266	3410946	-
1908	3411015	3412343	+
1909	3412371	3413435	-
1910	3413760	3415601	+
1911	3415868	3418381	+
1912	3418740	3421262	+
1913	3421457	3422272	+
1914	3423311	3425037	+
1915	3425131	3426486	+
1916	3426607	3427053	-
1917	3427166	3428284	+
1918	3428398	3429288	+
1919	3429300	3431492	-
1920	3431964	3436486	+
1923	3436670	3436996	-
1924	3437329	3437760	+
1925	3437828	3438181	-
1926	3438397	3439374	+
1927	3440693	3441151	+
1927.1	3441214	3442635	+
1928	3439382	3440587	-
1929	3442639	3442846	-
1930	3442782	3443771	+
1931	3443992	3445041	-
1932	3445147	3446265	-
1933	3446411	3447247	-
1934	3447503	3450943	-
1935	3451086	3451583	+
1936	3451802	3452668	+
1937	3452702	3453721	-
1938	3453897	3455910	+
1940	3455888	3456741	-
1941	3456818	3457406	+
1942	3457415	3458947	-
1943	3459075	3462811	-
1944	3463221	3464447	-
1945	3464572	3466500	+
1945.1	3466675	3467910	+
1946	3468011	3469126	+
1947	3469206	3472583	-
1948	3472717	3478420	+
1949	3478474	3479457	-
1950	3479624	3484041	-
1951	3484065	3486370	+
1952	3486449	3487508	-
1953	3487743	3487922	+
1954	3487939	3488355	-
1955	3488733	3489665	+
1956	3489776	3491002	+
1957	3491091	3492974	+
1958	3492997	3496248	-
1959	3496374	3497750	-
1960	3497932	3498732	-
1961	3498842	3502078	+
1962	3502114	3506512	-
1967	3506595	3508568	+
1968	3508706	3509071	+
1970	3522887	3526355	-
1970.1	3519403	3522772	-
1970.2	3516491	3519206	-
1970.3	3509078	3516394	-
1971	3526481	3527905	+
1972	3528025	3528981	+
1973	3528978	3529166	-
1974	3529215	3529412	+
1975	3529418	3530380	-
1976	3530448	3531203	-
1977	3531298	3533067	-
1978	3533132	3535117	-
1979	3535187	3535900	-
1980	3536116	3539750	+
1981	3540642	3541812	-
1982	3542001	3544407	+
1985	3544531	3545456	+
1986	3545467	3546042	-
1987	3546207	3546728	+
1988	3547357	3547542	-
1988.1	3546725	3547204	-
1989	3547674	3548318	+
1990	3548407	3548814	+
1991	3548806	3550669	-
1992	3550841	3551641	+
1993	3551638	3552536	-
1994	3552659	3555118	+
1995	3555235	3557088	-
1996	3557213	3557507	+
1997	3557646	3558134	-
1998	3558189	3560390	+
1999	3560500	3562923	-
2000	3563024	3563763	+
2001	3563760	3565342	-
2002	3565573	3566788	+
2003	3566856	3568580	+
2005	3568610	3569994	-
2006	3570124	3570297	+
2007	3570378	3571091	-
2008	3571232	3572206	-
2009	3572282	3572488	+
2010	3572670	3573179	+
2011	3573190	3573867	-
2012	3574049	3574282	+
2013	3574358	3578569	-
2014	3579405	3582355	-
2015	3582474	3582704	-
2016	3582768	3583769	-
2017	3583841	3585241	-
2018	3585336	3586425	+
2019	3586537	3590120	-
2020	3590254	3591821	+
2021	3591851	3592315	-
2023	3592612	3593264	-
2024	3593366	3594108	-
2025	3594318	3595619	+
2026	3595609	3596454	-
2027	3596573	3597802	+
2028	3597858	3602292	+
2029	3602289	3603162	-
2030	3603264	3603389	-
2031	3603496	3605787	-
2032	3606023	3608536	+
2033	3608537	3611123	+
2034	3611128	3612993	-
2035	3613084	3615472	-
2036	3615471	3615809	+
2037	3616201	3616467	+
2038	3616454	3617341	-
2039	3617633	3619569	+
2040	3619646	3620482	+
2042	3620488	3621718	-
2043	3621829	3623598	+
2044	3623648	3624564	-
2045	3624696	3629250	-
2046	3629634	3630437	+
2047	3630434	3632938	-
2048	3633141	3634934	+
2049	3637666	3638625	+
2050	3638700	3638969	+
2052	3639149	3639765	-
2053	3639847	3641246	+
2054	3641243	3641656	-
2055	3641744	3642703	+
2056	3642812	3643258	-
2057	3643337	3644732	+
2058	3644815	3646517	-
2059	3646621	3648524	-
2060	3648687	3648914	+
2061	3648911	3649450	-
2062	3649563	3650528	-
2063	3650597	3651653	-
2064	3651718	3652485	-
2065	3652689	3655060	-
2066	3655158	3655925	-
2067	3656061	3657158	+
2068	3657155	3661454	-
2069	3661597	3663408	+
2070	3663479	3663961	-
2071	3664090	3664677	+
2072	3664746	3670800	-
2073	3671916	3676443	-
2073.1	3670923	3671846	-
2074	3676818	3678537	+
2075	3678735	3680171	+
2076	3680336	3680833	-
2077	3681121	3683352	-
2078	3683299	3683442	+
2079	3683461	3684822	-
2080	3684965	3685681	-
2081	3685728	3686489	+
2082	3686586	3686966	-
2083	3687031	3688545	-
2084	3688646	3690394	+
2085	3690375	3692168	-
2086	3692947	3693894	+
2087	3694097	3696135	+
2088	3696150	3697019	-
2089	3697049	3699468	+
2090	3700066	3701956	+
2090.1	3702077	3704149	+
2090.2	3704263	3705657	+
2091	3705742	3708144	-
2093	3708801	3712645	+
2094	3712655	3712975	-
2095	3713085	3713810	-
2096	3714018	3719245	-
2097	3719438	3719677	-
2098	3719831	3720154	-
2100	3720951	3725873	+
2100.5	3725054	3725227	-
2101	3725877	3727622	-
2102	3727740	3730142	-
2103	3730408	3731595	+
2104	3731648	3731929	-
2105	3731993	3734884	-
2106	3735005	3737205	+
2107	3737442	3737900	-
2108	3737998	3738870	+
2109	3738874	3739859	-
2110	3739999	3740676	+
2110.1	3740756	3741960	+
2111	3742020	3742163	-
2112	3742253	3744746	-
2113	3744974	3745774	+
2114	3745966	3746511	-
2115	3746642	3747769	-
2116	3747921	3748637	+
2117	3748634	3750126	-
2118	3750296	3752605	+
2119	3752732	3753955	+
2120	3754120	3754890	+
2121	3755009	3756998	+
2122	3757062	3758789	+
2123	3758872	3762239	-
2124	3762727	3763932	-
2126	3764334	3767276	-
2127	3767676	3770777	+
2128	3770847	3773289	+
2129	3773490	3775610	+
2130	3775675	3776478	-
2131	3776537	3777382	-
2132	3777515	3779079	+
2133	3779178	3780188	-
2134	3780304	3781209	+
2135	3781650	3785231	-
2136	3785533	3786790	-
2137	3786554	3787517	+
2138	3787860	3788231	+
2139	3788397	3788990	-
2140	3789044	3789477	-
2141	3789689	3790714	-
2142	3790745	3792274	+
2144	3798508	3803645	-
2145	3803817	3805532	-
2146	3805613	3815310	+
2146.1	3815434	3815766	+
2147	3816172	3821492	-
2148	3821590	3821715	-
2149	3822013	3824760	-
2150	3825000	3829063	+
2150.1	3829099	3829656	+
2152	3829789	3829977	-
2153	3830389	3830733	-
2154	3830863	3832502	+
2155	3832546	3833166	-
2156	3833388	3834130	-
2157	3834296	3836574	+
2158	3836597	3837808	-
2159	3837928	3838554	+
2160	3838736	3843646	-
2161	3843950	3845971	+
2162	3846049	3853318	-
2163	3853392	3854765	-
2164	3854885	3855997	+
2165	3856093	3856797	-
2165.1	3856964	3857842	-
2167	3857835	3858917	+
2168	3859081	3859836	-
2169	3860040	3860984	+
2169.1	3861098	3865684	+
2172	3865772	3868618	+
2173	3868697	3869116	-
2174	3869198	3869488	-
2175	3871549	3873636	-
2175.1	3869691	3871400	-
2176	3873755	3874225	+
2177	3874686	3875469	+
2179	3875483	3876276	-
2180	3876441	3877617	-
2181	3879977	3881304	-
2181.1	3877681	3879838	-
2181.5	3881363	3882851	-
2182	3883021	3883980	+
2183	3884181	3884981	-
2185	3885212	3891310	+
2186	3891390	3891827	-
2187	3891918	3892646	+
2188	3892732	3894357	+
2189	3894358	3895518	-
2190	3895656	3896642	+
2191	3896761	3897006	-
2192	3897144	3897797	-
2193	3897870	3899293	-
2194	3899392	3900552	+
2195	3900536	3901846	-
2196	3901941	3903977	-
2197	3904176	3906137	+
2198	3906631	3907234	+
2199	3907410	3909197	+
2200	3909131	3910591	-
2201	3910659	3911783	-
2202	3911831	3912265	+
2203	3912262	3914687	-
2204	3914761	3915603	-
2205	3915780	3916955	+
2206	3917092	3918117	-
2207	3918154	3918711	+
2208	3918833	3921013	+
2209	3921045	3921557	-
2210	3921686	3922582	+
2211	3922579	3924376	-
2212	3924496	3928056	-
2213	3928131	3929309	+
2214	3929285	3930313	-
2215	3930450	3931366	+
2216	3931582	3931680	+
2217	3931762	3932676	-
2218	3932758	3933612	+
2219	3933616	3936891	-
2220	3937233	3938833	-
2221	3938981	3940445	+
2223	3940458	3942390	-
2224	3942525	3942908	+
2225	3942909	3944514	-
2226	3944717	3945469	+
2227	3945554	3945886	-
2228	3946415	3947149	-
2229	3947320	3950007	-
2230	3950191	3951467	+
2231	3951525	3952418	-
2232	3953403	3954819	+
2233	3954823	3955206	-
2234	3955324	3955599	+
2235	3955605	3956165	-
2236	3956266	3957831	-
2237	3957923	3958573	+
2238	3958800	3959258	+
2239	3959547	3960557	+
2240	3960736	3964194	-
2241	3964209	3968627	+
2242	3968758	3969843	+
2243	3969955	3970834	-
2244	3971138	3974778	+
2245	3974785	3975687	-
2246	3975911	3976462	+
2247	3976615	3977988	+
2248	3978070	3978591	-
2249	3978651	3979619	-
2250	3979685	3981811	-
2251	3981937	3982785	+
2252	3982782	3983132	-
2253	3983868	3987128	+
2254	3987216	3988175	+
2255	3988188	3989051	-
2256	3989134	3991405	+
2258	3991412	3992325	-
2259	3992475	3994198	+
2260	3994195	3994335	-
2261	3994626	3997976	+
2262	3998875	4002472	-
2262.1	3997994	3998809	-
2263	4002543	4003088	-
2264	4003161	4004147	+
2265	4004243	4006246	+
2266	4006251	4009598	-
2267	4009604	4011498	+
2268	4011623	4013048	-
2269	4013112	4013837	+
2270	4013963	4014820	-
2271	4014965	4019030	+
2272	4019207	4021567	-
2273	4021713	4022204	+
2274	4022266	4022952	-
2275	4023026	4023535	+
2276	4023532	4024185	-
2277	4024198	4024818	+
2278	4024825	4025235	-
2279	4025489	4030311	+
2280	4034962	4036564	-
2280.1	4030549	4034791	-
2281	4036691	4038351	+
2282	4038433	4039866	-
2283	4040125	4042684	-
2288	604210	609290	-
2291	1625780	1628183	-
2294	3635003	3637524	-
2298	1848134	1849506	+
2303	281946	285160	+
2304	464754	471415	+
2309	735544	736479	+
2325	1399011	1399908	-
2327	1423164	1424678	+
2333	1566421	1566829	+
2340	2177948	2178961	+
2361	3063015	3063950	+
2362	3170457	3171392	+
2363	35047	35667	-
2365	68179	68196	-
2366	177944	178090	+
2367	256240	256344	-
2368	387425	387559	+
2369	474254	474409	+
2370	475532	476800	+
2371	560907	560972	-
2372	609287	611065	-
2374	667900	668223	-
2375	761965	762324	+
2376	770798	771094	-
2377	771136	771327	-
2378	771721	771834	-
2379	2456952	2457431	+
2380	527284	527934	+
2381	946747	947268	+
2382	1231609	1232988	+
2383	1254289	1254639	-
2384	2003815	2005050	-
2385	2009954	2010232	-
2386	2230242	2230709	+
2387	2672953	2673444	-
2388	2684051	2684416	+
2389	2733704	2734027	+
2390	3153169	3153333	+
2391	3539800	3540480	-
2392	3578916	3579269	+
2393	3815979	3816086	-
2394	483798	484859	+
2395	850116	850442	-
2396	854395	854685	+
2397	899356	899490	-
2398	920425	920663	+
2399	1394783	1394905	+
2400	1486209	1486346	+
2401	1529253	1529711	-
2402	1529779	1529883	+
2403	1571872	1571955	-
2404	1649019	1649504	+
2405	1658850	1659263	-
2406	1699323	1699610	+
2407	2088068	2088118	+
2409	2404309	2404501	+
2410	2465238	2465672	+
2411	2733157	2733348	-
2412	2899489	2899896	-
2413	2959963	2960223	+
2414	2979690	2979911	+
2415	2984595	2984720	-
2416	3103505	3103669	+
2417	3103729	3103842	+
2419	3263371	3263811	+
2420	3285449	3285835	-
2421	3422208	3423167	-
2422	3527624	3527956	-
2423	3720400	3720816	-
2424	3952640	3953302	+
2425	1	182	-
2426	4292	4950	-
2427	76150	76225	+
2428	96456	96584	-
2429	124027	124282	-
2430	165492	165575	+
2431	200125	200201	-
2432	210637	210769	-
2433	232420	232497	+
2434	323716	323778	-
2435	339708	339810	+
2436	348195	348216	-
2437	362113	362212	-
2438	372505	372817	-
2439	396704	396827	-
2440	409219	409296	+
2441	422074	422176	+
2442	472905	472973	+
2443	499085	499174	-
2444	518733	518754	-
2445	553414	553828	-
2446	563800	564505	-
2447	582032	582108	+
2448	604150	604199	+
2449	622892	623341	+
2450	626656	626908	+
2451	691049	691611	+
2452	708218	708312	+
2453	720365	720441	-
2454	733806	733871	-
2455	735387	735530	-
2456	757024	757263	-
2457	758663	758806	-
2458	772628	773769	+
2459	808729	808841	+
2460	818770	818899	+
2461	826839	826953	+
2462	840137	840219	+
2463	842304	842378	+
2464	844332	844401	+
2465	847992	848150	-
2466	900614	900704	+
